tld_misspellings;tld
con;com
cim;com
cpm;com
vom;com
xom;com
cmo;com
mco;com
moc;com
omc;com
ocm;com
omc;com
ccom;com
coom;com
comm;com
oom;com
nt;net
met;net
ney;net
ner;net
nef;net
nrt;net
nwt;net
ndt;net
nte;net
ent;net
etn;net
nnet;net
neet;net
nett;net
ed;edu
du;edu
edi;edu
edy;edu
edj;edu
edo;edu
efu;edu
esu;edu
ecu;edu
eeu;edu
rdu;edu
wdu;edu
eedu;edu
eddu;edu
eduu;edu
og;org
rg;org
or;org
prg;org
irg;org
oeg;org
otg;org
ofg;org
orf;org
orh;org
orb;org
ort;org
oorg;org
orrg;org
orgg;org
gv;gov
go;gov
ov;gov
fov;gov
hov;gov
bov;gov
tov;gov
giv;gov
gpv;gov
glv;gov
goc;gov
gob;gov
gof;gov
ggov;gov
goov;gov
govv;gov
